Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,TCS.NS
30-07-2021,678.4730835,662.0383301,1433.055054,1536.88501,926.0860596,2855.135254
02-08-2021,676.6657104,660.9713135,1451.785645,1548.881226,943.0124512,2901.962891
03-08-2021,682.3970947,669.7015381,1472.829712,1568.45874,949.951355,2961.004639
04-08-2021,696.9516602,693.2244873,1467.5354,1557.758179,957.2316284,2951.134521
05-08-2021,706.2503662,681.3903198,1471.361572,1561.78894,971.109375,2960.148193
06-08-2021,709.9603882,676.7341309,1468.380859,1545.42627,950.5429077,2983.448975
09-08-2021,715.3112793,681.7781982,1480.037231,1533.046265,945.1281738,2995.077393
10-08-2021,717.0950317,679.8867188,1492.450439,1524.409058,950.0877686,3005.173096
11-08-2021,711.0542603,672.757019,1492.717407,1519.466919,963.3969116,3014.457764
12-08-2021,714.1221313,680.3231201,1503.439697,1557.998169,960.3029175,3021.263672
13-08-2021,725.9180298,683.6697388,1523.549316,1601.135864,976.2965088,3121.903809
16-08-2021,728.0106812,681.5842285,1516.609009,1589.331787,988.9686279,3130.512451
17-08-2021,720.4243774,680.1777344,1549.754761,1572.681274,984.7598267,3202.714844
18-08-2021,719.6395874,667.6644287,1542.458008,1567.019165,988.5818481,3209.475098
20-08-2021,720.4719238,660.2922974,1542.013306,1529.351685,977.4796143,3208.528809
23-08-2021,725.1569214,662.2323608,1547.174194,1517.019653,983.8952637,3278.747559
24-08-2021,741.4475098,673.630127,1531.24646,1541.059814,993.6098022,3256.933594
25-08-2021,740.7578735,670.3320313,1544.326782,1529.543579,1002.209473,3298.217773
26-08-2021,739.5211792,677.8496094,1537.341675,1531.414917,1014.88147,3309.800781
27-08-2021,736.5008545,678.7711792,1520.524048,1572.057495,1013.493774,3353.338379
30-08-2021,745.9185181,692.2544556,1510.95874,1593.170654,1032.991089,3336.34668
31-08-2021,752.1731567,697.4925537,1518.432983,1604.782715,1027.485474,3413.101807
01-09-2021,751.0791626,698.3171387,1492.895264,1618.410156,1031.557739,3348.651611
02-09-2021,755.7879639,703.409668,1502.994507,1618.218262,1043.979614,3458.441406
03-09-2021,749.6286011,702.585144,1513.272095,1623.304443,1086.796265,3463.218994
06-09-2021,744.7056885,699.529541,1539.744141,1625.895752,1103.677246,3472.187988
07-09-2021,746.394165,695.4070435,1518.610962,1613.899658,1110.638916,3439.647217
08-09-2021,749.7949219,699.3355713,1506.6875,1599.360718,1106.293335,3402.013916
09-09-2021,746.085022,698.6565552,1505.219238,1602.71936,1103.677246,3417.562744
13-09-2021,739.8779907,686.1918945,1505.486206,1604.302734,1079.083862,3466.193604
14-09-2021,736.5484619,686.2402954,1500.369751,1628.055054,1077.67334,3502.745361
15-09-2021,735.7160645,692.9334106,1522.882202,1647.776611,1082.155151,3564.626221
16-09-2021,741.9706421,705.3981934,1514.695923,1651.855225,1104.860107,3518.429443
17-09-2021,752.5299072,698.5595703,1504.952393,1647.008789,1087.729126,3450.418945
20-09-2021,741.9230957,688.7139282,1501.882568,1635.636475,1089.458008,3446.498291
21-09-2021,738.1655884,690.5083618,1529.110962,1651.519287,1094.16748,3482.058594
22-09-2021,729.4852295,682.2631836,1527.731812,1641.922485,1105.90686,3481.336914
23-09-2021,746.7509155,695.5040283,1550.555542,1698.351807,1132.93457,3487.737305
24-09-2021,761.7572632,701.2756348,1569.508423,1697.440186,1129.658325,3489.584961
27-09-2021,772.9585571,708.1142578,1531.513428,1669.465332,1148.655029,3458.621826
28-09-2021,768.1783447,695.6495361,1501.215088,1667.114136,1159.393311,3406.520508
29-09-2021,758.0948486,688.2288818,1505.797607,1651.615234,1150.202271,3418.013916
30-09-2021,758.618042,679.8381958,1490.626343,1634.292847,1146.289063,3403.276123
01-10-2021,752.7913818,671.5930176,1481.683716,1628.486938,1148.313721,3362.397705
04-10-2021,754.2422485,679.2077026,1493.785034,1646.097046,1163.078979,3401.248047
05-10-2021,758.855835,676.2005615,1506.286987,1647.488525,1187.217407,3455.331787
06-10-2021,768.1070557,668.8284912,1489.158081,1626.711548,1164.762451,3435.140625
07-10-2021,766.0142212,681.1477051,1504.685425,1643.40979,1170.4729,3509.054932
08-10-2021,762.2804565,682.3118286,1533.915894,1657.277466,1215.450928,3547.589355
11-10-2021,777.0965576,691.914917,1504.640747,1647.680542,1206.987549,3322.195068
12-10-2021,775.098877,687.355835,1499.479858,1648.928223,1213.880981,3292.674316
13-10-2021,779.7602539,688.6654663,1520.880005,1681.413574,1226.234619,3294.79248
14-10-2021,802.5906982,705.4951782,1526.708374,1717.161743,1228.714478,3261.602783
18-10-2021,794.4573364,723.1010132,1594.690674,1716.345825,1231.990723,3293.844482
19-10-2021,803.2090454,725.0411377,1621.385254,1771.623779,1243.024658,3282.103271
20-10-2021,796.145752,723.4890747,1603.766846,1733.860107,1228.714478,3259.254639
21-10-2021,797.3111572,732.8497314,1560.432495,1732.948486,1193.269043,3190.300537
22-10-2021,799.4277344,736.5357666,1530.312134,1719.992798,1195.498657,3159.910889
25-10-2021,788.1312866,816.4654541,1519.411987,1712.21936,1183.85022,3154.581787
26-10-2021,786.1099243,804.5343018,1529.421265,1723.831421,1210.809692,3145.235107
27-10-2021,781.3773804,809.9663086,1552.088501,1712.603149,1195.498657,3151.692139
28-10-2021,757.9759521,774.7545776,1529.600952,1741.105835,1182.394165,3090.188721
29-10-2021,752.862793,778.0041504,1497.148682,1695.424805,1154.024414,3068.604004
01-11-2021,763.5409546,779.7987671,1526.144531,1722.967651,1154.729614,3139.63501
02-11-2021,764.2305908,776.9371338,1524.2146,1742.449341,1137.893921,3146.678955
03-11-2021,752.1969604,762.3869019,1528.344116,1813.321899,1130.067871,3153.949707
04-11-2021,758.142395,758.6522827,1533.909668,1831.987793,1137.006714,3168.760498
